id,unique_id,tag,keyword,first_editor,last_editor,yomi,content
1,1,ピクミン,岩ピクミン,koppacha,koppacha,いわぴくみん,『ピクミン3』で初登場したピクミンの一種。 ストーリーモードでは“再開の花園”の洞窟内で初遭遇することになるが、 トロロタラシに捕まっているため、トロロタラシを倒さなければ仲間にすることができない。身体が硬い石のような物質でできており、各ステージに点在する“スイショウ”を破壊できるという特徴を持つ。 また、岩ピクミンを原生生物に投げると大きなダメージを与えることができるため、戦闘での活躍も期待できる。 さらに潰す攻撃に対して無敵であるため、フタクチドックリやイモガエルと戦うときは岩ピクミンのみで挑むと犠牲ゼロで倒すことができる。このようにルート開拓・戦闘力両面において有用な特徴を持ってはいるが、 投げる際にバウンドする、張り付き攻撃ができない、などといった特徴を持ち併せているため、 戦闘力に関しては状況によっては赤ピクミンの方が勝る場合もある。
2,2,原生生物,ペロチャッピー,koppacha,koppacha,ぺろちゃっぴー,『ピクミン3』で初登場したイヌムシ科(推定)の一種。 クマチャッピーと同じく昼行性で、決まった縄張りを巡廻して常に捕食対象を探している。 背後を取りにくく、正面から挑まざるを得ない場合も多いため、夜行性である他のイヌムシ科よりも手強いと言える。 口がアリクイのようにすぼんでおり、ここから長い舌をくりだしてピクミンを絡め取って食べる。 その性質上クマチャッピーと比べると捕食スピードはそれほど速くない。 ケチャッピーと色が似ているが活動場所などはまったく異なり、関連性は不明。
3,3,その他回収物,キンカイ,koppacha,koppacha,きんかい,『ピクミン3』で初登場した回収対象物。ミッションモード“お宝をあつめろ！”にのみ登場する。 キンカイは必ず複数個が固まって配置されており、ひとつあたりの重さは1(最大値1)で、一粒あたり3点の価値。 ピクミンはこれをひとつずつ運び、ポッドまで持ってくると自動的に往復して残りのキンカイも運び始める。 すべてのキンカイを回収すると、キンカイのあった場所で待機する。ピクミンを一気にキンカイに投げる場合、ピクミンの数をキンカイ総数の約数にすると効率良く運搬できる。 また、複数の隊員を操作できるステージの場合は、キンカイの場所に一人待機させておくことでフリーになったピクミンをすぐ動かすことができる。キンカイが多数配置されている“白銀の泉”“続・落葉の回廊”などは、いかにして効率良くキンカイを回収するかがハイスコアの鍵となる。 最も大きいキンカイは“続・原生の杜”、“冬の贈りもの”に登場する100個。
4,4,フルーツ,ヒダマリノミ,koppacha,koppacha,ひだまりのみ,『ピクミン2』で初登場したお宝。イチゴの外見をしている。価値170ポコ。“未開の味シリーズ”のひとつであり、次作『ピクミン3』にも登場した。 “めざめの森”の地上に存在するお宝の中でもドルフィン初号機に非常に近い場所に置かれており、 このエリアの中では回収は最も容易なお宝であると言える。重さは5～10。 近くにアカコチャッピーとアカチャッピーが生息しているため、これらを退治しておくとより安全に運搬できる。『ピクミン3』では“再開の花園”にて、アルフたちが最初に遭遇するフルーツとして登場する。 4個存在し、果汁量は1.0。重さは3～6と前作から比べて軽くなっている。4個のうち3個は“再開の花園”に存在する。 ミッションモードでも価値50点のお宝として頻繁に登場する他、 “フキダマリノミ”という、より価値の高い類似のお宝も存在する。ピクミンシリーズでは“ヤブレカブレ”と並んでメジャーな運搬物と言えるだろう。
5,5,ピクミン,黄ピクミン,koppacha,koppacha,きぴくみん,『ピクミン』で初登場したピクミンの一種。 『ピクミン』ではバクダン岩を扱える唯一のピクミンとして、『ピクミン2』では電気に耐性を持つピクミンとして、 『ピクミン3』では電気耐性に加え、タテ穴・ヨコ穴の開通速度と、埋まっているフルーツを掘る速度が早い唯一のピクミンとして登場する。 共通しているのは“他のピクミンよりも高く飛ぶ”という点のみである。 『ピクミン』の頃からすでにバクダン岩を扱えたり、採掘速度が速いなどといった特徴から、他ピクミンよりも器用であることがうかがえる。 いずれのシリーズでも、他ピクミンと違って代替の効かない特性を持っていることもあり重宝される傾向にある。特に『ピクミン2』における高難度の地下ではダマグモ系のボスが多いことや、属性攻撃のうち電気のみが即死ということもあり、 それらに強い黄ピクミンがよく活躍する。『ピクミン3』では赤ピクミンを差し置いて最初に遭遇するピクミンとして登場した。
6,6,チャレンジモード,けだものの穴,koppacha,koppacha,けだもののあな,通常は“始まりの洞窟”の次に入ることになる地下。フロア数や原生生物の数の割にお宝総金額が高い。 お宝はすべて任天堂が実際に販売していたことのあるもので統一されている。 属性は火のみとなっているため、赤ピクミンのみでも十分攻略できるが、お宝に比較的重いものが多いため紫ピクミンがいた方がスムーズに進める。 最深部のボス・クイーンチャッピーは他の洞窟で登場するバージョンと違ってベビーチャッピーを生まないタイプである。 入口は比較的ドルフィン初号機から近い場所にあり、B4Fにはムラサキポンガシグサがあるため序盤で紫ピクミンを増やすのに適した地下と言える。
7,7,原生生物,ダンゴナマズ,koppacha,koppacha,だんごなまず,口元と獰猛であること以外は似ても似つかないがデメマダラの近縁種である。 シリーズを通して主に「水上の難敵」として、特に青ピクミンを連れているときのプレイヤーを悩ませ続ける。 捕食スピードは大きさが倍以上あるチャッピーとほぼ変わらず、遭遇時の隊列は攻撃力に乏しい青ピクミンのみであることが多いため、真正面から挑むと甚大な被害を生んでしまいがちである。 反面、背後に弱いのは他のイヌムシ科と共通しており、気付かれないまま背後から突撃すれば少数精鋭でも倒すことができる。 両生類なのか陸上に出る姿も確認され、特に『ピクミン2』の地下では陸上で動き回る姿がよく見かけられる。
8,8,原生生物,ハンボ,koppacha,koppacha,はんぼ,普段は葉っぱに擬態しており、この状態ではピクミンは見付けることができないため攻撃しようとしない。 さらに動きだすと非常に素早いため、突撃だけで倒そうとすると時間を食いがちである。 コチャッピー系と同じように背中にピクミンを当てると一撃で倒すことができるため、倒すときはこの方法でサクサクと倒していきたい。 明るい場所が苦手なのか、『ピクミン2』では水中や洞窟に多く生息する。 『ピクミン3』では、ミッションモード“草花の園”にてハンボの隠れ家を見ることができる。
9,9,フィールド,水中の城,koppacha,koppacha,すいちゅうのしろ,『ピクミン2』に登場する、水中に入口があり青ピクミンしか入ることのできない特殊な地下。 B1～B4Fはそのフロアに5分間居続けるとアメボウズが降ってくる。 アメボウズは紫ピクミンの衝撃がないと実体化しないため、4Fまでは実質無敵である。 このアメボウズの脅威に加え、青ピクミンしか連れて行けないのに間欠炎、電極、毒ガス管と多彩な障害物がある上に、 B4Fではいたるところにサクレショイグモやバクダン岩が配置されており、同作の地下の中でも屈指の難易度を誇る。 ただしすべての属性攻撃は地下に最大40匹出現するコッパチャッピーで対処することができるため、 慣れれば青ピクミンはそれほど連れていかなくても攻略できる。 最深部ではムラサキポンガシグサが配置されており、ここでようやくアメボウズと対峙することになる。
10,10,ピクミン,羽ピクミン,koppacha,koppacha,はねぴくみん,『ピクミン3』で初登場したピクミンの一種。ストーリーモードでは“交わりの渓流”で出会うことになる。 目が大きい点や小柄な点など、ピクミン科の中でも白ピクミンとの類似点が多く見られる。 ピンク色の身体に小さな羽根が付いており、常に飛んで動き回る。そのため、浅瀬であれば水上を移動することもできる他、段差を飛び越えて物を運ぶこともできる。 ストーリーモードではオニヨンごと天敵のマリグモに捕らえられており絶滅寸前だったところをコッパイ星人に助けられた。 攻撃力は青ピクミンよりもさらに低く全ピクミン中最弱であるが、空を飛ぶ原生生物に何度も立ち向かっていけるという強さを持ち併せており、 フーセンドックリやサライムシといった原生生物に対しては無類の強さを発揮する。
