stage_id,stage_name,eng_stage_name,stage_sub,type,display,series,parent,time,treasure,pikmin,border1,border2,border3,border4
429,古代アーケード,Ancient Arches,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
430,白亜のやぐら,Rugged Scaffold,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
431,ねじれ坂,Meandering Slope,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
432,花びら渓谷,Fragrant Ravine,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
433,こもれび台地,Sunwashed Plateau,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
434,ひょうたん池,Misshapen Pond,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
435,ラッパ花砂漠,Blossoming Dunes,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
436,なぎさの休憩所,Water's Edge,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
437,天守閣,The Sand Keep,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
438,星見台,Stargazer's Spot,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
439,巨人のダイニング,Feasting Center,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
440,大階段のふもと,Foot of the Stairs,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
441,丸太街道,Line of Logs,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
442,イス遺跡,Abandoned Throne,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
443,樹海の入口,The Sylvan Gate,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
444,枯葉平原,Autumnal Gully,ピクミン4 夜の探索,stage,speedrun,4,47,0,0,0,0,0,0,0
